Consecutivo;Razón Social del cliente;Marca;Modelo Técnico;Tipo de Receptor;País de Fabricación;Código de Certificado;Fecha de Emisión;Alcance
287;Esto es un ejemplo S.A;Sharp;LC-32GP3U(W);Full-seg;Japón;TVD-287-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
288;Esto es un ejemplo S.A;Sharp;LC-32SB21U;Full-seg;Corea del Sur;TVD-288-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
289;Esto es un ejemplo S.A;Sharp;LC-32SB220U;Full-seg;China;TVD-289-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
290;Esto es un ejemplo S.A;Sharp;LC-32SB23U;Full-seg;Estados Unidos;TVD-290-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
291;Esto es un ejemplo S.A;Sharp;LC-32SB24U;Full-seg;Japón;TVD-291-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
292;Esto es un ejemplo S.A;Sharp;LC-37D44U;Full-seg;Corea del Sur;TVD-292-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
293;Esto es un ejemplo S.A;Sharp;LC-37D64U;Full-seg;China;TVD-293-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
294;Esto es un ejemplo S.A;Sharp;LC-37SB24U;Full-seg;Estados Unidos;TVD-294-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
295;Esto es un ejemplo S.A;Sharp;LC-42D65U;Full-seg;Japón;TVD-295-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
296;Esto es un ejemplo S.A;Sharp;LC-42D85U;Full-seg;Corea del Sur;TVD-296-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
297;Esto es un ejemplo S.A;Sharp;LC-46D65U;Full-seg;China;TVD-297-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
298;Esto es un ejemplo S.A;Sharp;LC-46D85U;Full-seg;Estados Unidos;TVD-298-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
299;Esto es un ejemplo S.A;Sharp;LC-46SB54U;Full-seg;Japón;TVD-299-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
300;Esto es un ejemplo S.A;Sharp;LC-46SE941U;Full-seg;Corea del Sur;TVD-300-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
301;Esto es un ejemplo S.A;Sharp;LC-46SE94U;Full-seg;China;TVD-301-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
302;Esto es un ejemplo S.A;Sharp;LC-52D65U;Full-seg;Estados Unidos;TVD-302-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
303;Esto es un ejemplo S.A;Sharp;LC-52D85U;Full-seg;Japón;TVD-303-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
304;Esto es un ejemplo S.A;Sharp;LC-52SB55U;Full-seg;Corea del Sur;TVD-304-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
305;Esto es un ejemplo S.A;Sharp;LC-52SB55U;Full-seg;China;TVD-305-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
306;Esto es un ejemplo S.A;Sharp;LC-52SE941U;Full-seg;Estados Unidos;TVD-306-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
307;Esto es un ejemplo S.A;Sharp;LC-52SE94U;Full-seg;Japón;TVD-307-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
308;Esto es un ejemplo S.A;Sharp;LC-52XS1U/TU-X1U;Full-seg;Corea del Sur;TVD-308-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
309;Esto es un ejemplo S.A;Sharp;LC-65D64U;Full-seg;China;TVD-309-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
310;Esto es un ejemplo S.A;Sharp;LC-65SE94U;Full-seg;Estados Unidos;TVD-310-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
311;Esto es un ejemplo S.A;Sharp;LC-65XS1U/TU-X1U;Full-seg;Japón;TVD-311-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
312;Esto es un ejemplo S.A;Sharp;LC-C3234U;Full-seg;Corea del Sur;TVD-312-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
313;Esto es un ejemplo S.A;Sharp;LC-C4654U;Full-seg;China;TVD-313-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
314;Esto es un ejemplo S.A;Sharp;LC-C4655U;Full-seg;Estados Unidos;TVD-314-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
315;Esto es un ejemplo S.A;Sharp;LC-C5255U;Full-seg;Japón;TVD-315-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
316;Esto es un ejemplo S.A;Sharp;LC-C6554U;Full-seg;Corea del Sur;TVD-316-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
317;Esto es un ejemplo S.A;Sony;KDL-19M4000;Full-seg;China;TVD-317-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
318;Esto es un ejemplo S.A;Sony;KDL-22L4000;Full-seg;Estados Unidos;TVD-318-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
319;Esto es un ejemplo S.A;Sony;KDL-26FA400;Full-seg;Japón;TVD-319-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
320;Esto es un ejemplo S.A;Sony;KDL-26L5000;Full-seg;Corea del Sur;TVD-320-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
321;Esto es un ejemplo S.A;Sony;KDL-26M4000;Full-seg;China;TVD-321-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
322;Esto es un ejemplo S.A;Sony;KDL-26N4000;Full-seg;Estados Unidos;TVD-322-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
323;Esto es un ejemplo S.A;Sony;KDL-26NL140;Full-seg;Japón;TVD-323-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
324;Esto es un ejemplo S.A;Sony;KDL-32FA400;Full-seg;Corea del Sur;TVD-324-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
325;Esto es un ejemplo S.A;Sony;KDL-32L4000;Full-seg;China;TVD-325-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
326;Esto es un ejemplo S.A;Sony;KDL-32L5000;Full-seg;Estados Unidos;TVD-326-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
327;Esto es un ejemplo S.A;Sony;KDL-32LL150;Full-seg;Japón;TVD-327-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
328;Esto es un ejemplo S.A;Sony;KDL-32M4000;Full-seg;Corea del Sur;TVD-328-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
329;Esto es un ejemplo S.A;Sony;KDL-32N4000;Full-seg;China;TVD-329-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
330;Esto es un ejemplo S.A;Sony;KDL-32NL140;Full-seg;Estados Unidos;TVD-330-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
331;Esto es un ejemplo S.A;Sony;KDL-32V4000;Full-seg;Japón;TVD-331-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
332;Esto es un ejemplo S.A;Sony;KDL-32VL140;Full-seg;Corea del Sur;TVD-332-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
333;Esto es un ejemplo S.A;Sony;KDL-32W4000;Full-seg;China;TVD-333-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
334;Esto es un ejemplo S.A;Sony;KDL-32XBR6;Full-seg;Estados Unidos;TVD-334-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
335;Esto es un ejemplo S.A;Sony;KDL-37FA400;Full-seg;Japón;TVD-335-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
336;Esto es un ejemplo S.A;Sony;KDL-37L4000;Full-seg;Corea del Sur;TVD-336-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
337;Esto es un ejemplo S.A;Sony;KDL-37M4000;Full-seg;China;TVD-337-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
338;Esto es un ejemplo S.A;Sony;KDL-37N4000;Full-seg;Estados Unidos;TVD-338-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
339;Esto es un ejemplo S.A;Sony;KDL-37NL140;Full-seg;Japón;TVD-339-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
340;Esto es un ejemplo S.A;Sony;KDL-37XBR6;Full-seg;Corea del Sur;TVD-340-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
341;Esto es un ejemplo S.A;Sony;KDL-40M4000;Full-seg;China;TVD-341-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
342;Esto es un ejemplo S.A;Sony;KDL-40S4100;Full-seg;Estados Unidos;TVD-342-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
343;Esto es un ejemplo S.A;Sony;KDL-40SL140;Full-seg;Japón;TVD-343-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
344;Esto es un ejemplo S.A;Sony;KDL-40V4000;Full-seg;Corea del Sur;TVD-344-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
345;Esto es un ejemplo S.A;Sony;KDL-40V4100;Full-seg;China;TVD-345-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
346;Esto es un ejemplo S.A;Sony;KDL-40V4150;Full-seg;Estados Unidos;TVD-346-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
347;Esto es un ejemplo S.A;Sony;KDL-40W4000;Full-seg;Japón;TVD-347-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
348;Esto es un ejemplo S.A;Sony;KDL-40W4100;Full-seg;Corea del Sur;TVD-348-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
349;Esto es un ejemplo S.A;Sony;KDL-40W4500;Full-seg;China;TVD-349-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
350;Esto es un ejemplo S.A;Sony;KDL-40WL140;Full-seg;Estados Unidos;TVD-350-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
351;Esto es un ejemplo S.A;Sony;KDL-40X4500;Full-seg;Japón;TVD-351-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
352;Esto es un ejemplo S.A;Sony;KDL-40XBR6;Full-seg;Corea del Sur;TVD-352-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
353;Esto es un ejemplo S.A;Sony;KDL-40XBR7;Full-seg;China;TVD-353-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
354;Esto es un ejemplo S.A;Sony;KDL-40Z4100;Full-seg;Estados Unidos;TVD-354-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
355;Esto es un ejemplo S.A;Sony;KDL-40Z4500;Full-seg;Japón;TVD-355-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
356;Esto es un ejemplo S.A;Sony;KDL-42V4100;Full-seg;Corea del Sur;TVD-356-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
357;Esto es un ejemplo S.A;Sony;KDL-46S4100;Full-seg;China;TVD-357-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
358;Esto es un ejemplo S.A;Sony;KDL-46SL140;Full-seg;Estados Unidos;TVD-358-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
359;Esto es un ejemplo S.A;Sony;KDL-46V4000;Full-seg;Japón;TVD-359-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
360;Esto es un ejemplo S.A;Sony;KDL-46V4100;Full-seg;Corea del Sur;TVD-360-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
361;Esto es un ejemplo S.A;Sony;KDL-46W4000;Full-seg;China;TVD-361-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
362;Esto es un ejemplo S.A;Sony;KDL-46W4100;Full-seg;Estados Unidos;TVD-362-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
363;Esto es un ejemplo S.A;Sony;KDL-46W4150;Full-seg;Japón;TVD-363-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
364;Esto es un ejemplo S.A;Sony;KDL-46W4500;Full-seg;Corea del Sur;TVD-364-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
365;Esto es un ejemplo S.A;Sony;KDL-46WL140;Full-seg;China;TVD-365-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
366;Esto es un ejemplo S.A;Sony;KDL-46X4500;Full-seg;Estados Unidos;TVD-366-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
367;Esto es un ejemplo S.A;Sony;KDL-46XBR6;Full-seg;Japón;TVD-367-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
368;Esto es un ejemplo S.A;Sony;KDL-46XBR8;Full-seg;Corea del Sur;TVD-368-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
369;Esto es un ejemplo S.A;Sony;KDL-46Z4100;Full-seg;China;TVD-369-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
370;Esto es un ejemplo S.A;Sony;KDL-52S4100;Full-seg;Estados Unidos;TVD-370-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
371;Esto es un ejemplo S.A;Sony;KDL-52V4100;Full-seg;Japón;TVD-371-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
372;Esto es un ejemplo S.A;Sony;KDL-52W4000;Full-seg;Corea del Sur;TVD-372-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
373;Esto es un ejemplo S.A;Sony;KDL-52W4100;Full-seg;China;TVD-373-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
374;Esto es un ejemplo S.A;Sony;KDL-52W4500;Full-seg;Estados Unidos;TVD-374-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
375;Esto es un ejemplo S.A;Sony;KDL-52WL140;Full-seg;Japón;TVD-375-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
376;Esto es un ejemplo S.A;Sony;KDL-52XBR6;Full-seg;Corea del Sur;TVD-376-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
377;Esto es un ejemplo S.A;Sony;KDL-52XBR7;Full-seg;China;TVD-377-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
378;Esto es un ejemplo S.A;Sony;KDL-55X4500;Full-seg;Estados Unidos;TVD-378-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
379;Esto es un ejemplo S.A;Sony;KDL-55XBR8;Full-seg;Japón;TVD-379-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
380;Esto es un ejemplo S.A;Sony;KDL-70X4500;Full-seg;Corea del Sur;TVD-380-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
381;Esto es un ejemplo S.A;Sony;KDL-70XBR7;Full-seg;China;TVD-381-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
382;Esto es un ejemplo S.A;Sony;KLV-32S400A;Full-seg;Estados Unidos;TVD-382-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
